Aquifer basin,N,,,,,P,,,,,K,,,,
,'07,'10,'12,'14,'16,'07,'10,'12,'14,'16,'07,'10,'12,'14,'16
Coastal,20.3,23,20.2,22.7,18.7,6.3,3.2,3.2,3.5,3.4,30.7,31.4,29.7,28.1,26.8
Yartan,25.3,35.1,37.9,41.3,36.3,8.8,4.3,4.3,4.7,4.3,35.8,32.7,33,30.7,27.4
Kinneret,13.2,18.7,27.9,37.8,28.1,7.8,4.8,8.9,7.6,6.5,43.9,44,45.5,19.7,51.6
Western Negev,8.2,7.9,8.8,7.7,6.9,5.4,2.9,2.6,2.7,2.3,30.2,29.8,27.1,26.6,26.1
West Galilee,33.5,34.7,35.2,36.3,35.6,9.8,4.9,4.9,6.3,5.1,45.7,48.8,46.7,36.3,36.3
Eastern Mount,51.6,50.8,48.9,48.7,43.3,10.6,5.9,6.5,7.8,5.8,43.1,49.7,44.9,42.3,36.7
